station_id,name
7000,Fort York  Blvd / Capreol Ct
7001,Wellesley Station Green P
7002,St. George St / Bloor St W
7003,Madison Ave / Bloor St W
7005,King St W / York St
7006,Bay St / College St (East Side)
7007,College St / Huron St
7008,Wellesley St W / Queen's Park Cres
7009,King St E / Jarvis St
7010,King St W / Spadina Ave
7012,Elizabeth St / Edward St (Bus Terminal)
7013,Scott St / The Esplanade
7014,Sherbourne St / Carlton St (Allan Gardens)
7015,King St W / Bay St (West Side)
7016,Bay St / Queens Quay W (Ferry Terminal)
7017,Widmer St / Adelaide St W - SMART
7018,Bremner Blvd / Rees St
7019,Temperance St Station
7020,Phoebe St / Spadina Ave
7021,Bay St / Albert St
7022,Simcoe St / Queen St W
7023,College St / Borden St
7024,Dundonald St / Church St
7025,Ted Rogers Way / Bloor St E
7026,Bay St / St. Joseph St
7027,Beverley St / Dundas St W
7028,Gould St / Mutual St
7029,Bay St / Bloor St W (East Side)
7030,Bay St / Wellesley St W
7031,Jarvis St / Isabella St
7032,Augusta Ave / Dundas St W
7033,Union Station
7034,Church St / Bloor St E
7035,Queen St W / Ossington Ave
7036,Trinity St /Front St E
7037,Bathurst St / Dundas St W
7038,Dundas St W / Yonge St
7039,Simcoe St / Michael Sweet Ave
7040,Euclid Ave / Bloor St W
7041,Edward St / Yonge St
7042,Sherbourne St / Wellesley St E
7043,Queens Quay W / Lower Simcoe St
7044,Church St / Alexander St
7045,Bond St / Queen St E
7046,Niagara St / Richmond St W
7047,University Ave / Gerrard St W (East Side)
7048,Front St W / Yonge St (Hockey Hall of Fame)
7049,Portland St / Queen St W
7050,Richmond St E / Jarvis St Green P
7052,Wellington St W / Bay St
7053,Metro Hall Plaza
7054,Navy Wharf Crt / Bremner Blvd
7055,Jarvis St / Carlton St
7057,Simcoe St / Wellington St W South
7058,Huron St / Harbord St
7059,Front St W / Blue Jays Way
7061,Dalton Rd / Bloor St W
7063,Queen's Park / Bloor St W
7064,51 Parliament St
7065,Dundas St E / Parliament St
7066,Willcocks St / St. George St
7067,Yonge St / Lake Shore Blvd E
7068,Blantyre Park
7069,Queen St W / Spadina Ave
7070,25 York St _ Union Station South
7071,161 Bleecker St (South of Wellesley)
7072,Fleet St / Bathurst St
7073,Spadina Ave / Fort York Blvd
7074,King St E / Church St
7075,Queens Quay W / Dan Leckie Way
7076,York St / Queens Quay W
7077,College Park South
7078,College St / Major St
7079,McGill St / Church St
7083,Danforth Ave / Barrington Ave
7084,High Park - Grenadier Cafe
7085,Danforth Ave / Westlake Ave
7086,High Park - West Rd
7087,Danforth Ave / Aldridge Ave
7088,Danforth Ave / Coxwell Ave
7089,Church St  / Wood St
7090,Danforth Ave / Lamb Ave
7091,Donlands Subway Station
7093,Danforth Ave / Gough Ave
7094,14 Arundel Ave
7095,Danforth Ave / Ellerbeck St
7096,Lower Don River Trail and Taylor Creek Trail
7097,Riverdale Park North (Broadview Ave)
7098,Riverdale Park South (Broadview Ave)
7099,Mill St / Cherry St
7100,Dundas St E / Regent Park Blvd
7101,Lower Sherbourne St / The Esplanade
7102,Nelson St / Duncan St
7103,Jimmie Simpson Park (Queen St E)
7104,King St E / River St
7105,Queen St E / Sackville St
7106,Mill St / Tannery Rd
7107,Cherry St / Distillery Ln
7108,Front St E / Cherry St
7109,Seaton St / Dundas St E - SMART
7110,Queen St E / Berkeley St
7111,King St W / Douro St
7112,Liberty St / Fraser Ave Green P
7113,Parliament St / Aberdeen Ave
7114,Carlton St / Parliament St
7115,Howard St / Sherbourne St
7116,Bloor St E / Parliament St
7117,Castle Frank Subway Station
7118,King St W / Bay St (East Side)
7119,Sumach St / Carlton St (Riverdale Farm)
7120,Gerrard St E / River St
7121,Jarvis St / Dundas St E
7122,Niagara St / Tecumseth St
7123,420 Wellington St W
7124,Dundas St E / Broadview Ave
7126,Yonge St / Yorkville Ave
7127,Bay St / Scollard St
7128,Yonge St / Aylmer Ave
7129,Davenport Rd / Avenue Rd
7130,Davenport Rd / Bedford Rd
7131,Taddle Creek Park
7132,Kendal Ave / Spadina Rd
7133,Summerhill Subway Station
7135,Hanna Ave / Liberty St
7136,Queen St W / Close Ave
7137,Davenport Rd / Bathurst St
7138,Davenport Rd / Christie St
7139,Glen Edyth Dr / Davenport Rd
7140,Macpherson Ave / Spadina Rd
7141,Bridgman Ave / Kendal Ave
7142,Bridgman Ave / Bathurst St
7143,Kendal Ave / Bernard Ave
7144,Palmerston Ave / Vermont Ave
7146,Christie St / Benson Ave (Wychwood Barns)
7147,King St W / Fraser Ave
7148,King St W / Joe Shuster Way
7149,Yarmouth Rd / Christie St
7150,Dufferin St / Sylvan Av (Dufferin Grove Park)
7151,Essex St / Christie St
7152,Ossington Ave / Bloor St W
7153,Bloor St W / Christie St
7154,Bathurst Subway Station
7155,Bathurst St / Lennox St
7156,Salem Ave / Bloor St W
7157,Dufferin St / Bloor St W
7158,King St W / Stafford St
7160,King St W / Tecumseth St
7161,Beverley St / College St
7162,Hayter St / La Plante Ave
7163,Yonge St / Wood St
7164,Gould St / Yonge St (TMU)
7168,Queens Quay / Yonge St
7169,Front St W / Bay St (North Side)
7170,Spadina Ave / Willcocks St
7171,Ontario Place Blvd / Lake Shore Blvd W
7172,Strachan Ave / Princes' Blvd
7173,Cariboo Ave / Railpath Trail
7174,Bloor St W / Dundas St W
7175,HTO Park (Queens Quay W)
7176,Bathurst St / Fort York Blvd
7178,Dundas St W / Edna Ave
7180,Lansdowne Subway Station
